id,title,url,orig_caption,gen_caption,orig_sentiment,gen_sentiment,object_counts
243,Iran hangs man convicted of spying for Israel,https://www.hindustantimes.com/world-news/iran-hangs-man-convicted-of-spying-for-israel-101748430486087.html,Pedram Madani's death marks the second espionage death sentence by Iran related to Israeli intelligence activities this year.(REUTERS),a close up of a flag with a pattern,"{'label': 'NEGATIVE', 'score': 0.9887002110481262}","{'label': 'POSITIVE', 'score': 0.552074670791626}",{}
244,Who was Mohammad Sinwar? The ‘ghost’ who evaded multiple assassination attempts,https://www.hindustantimes.com/world-news/who-was-mohammad-sinwar-the-ghost-who-evaded-multiple-assassination-attempts-101748445813723.html,"A screengrab shows according to the Israeli Army, Hamas Gaza chief Mohammed Sinwar, taken from a handout video, released December 17, 2023.(via REUTERS)",a man driving a car with a cell in his hand,"{'label': 'NEGATIVE', 'score': 0.9967514276504517}","{'label': 'NEGATIVE', 'score': 0.9803087711334229}","{'person': 3, 'car': 1}"
245,Hamas Gaza chief Mohammed Sinwar eliminated by Israeli forces: Benjamin Netanyahu,https://www.hindustantimes.com/world-news/israel-has-killed-hamas-gaza-chief-mohammed-sinwar-announces-benjamin-netanyahu-101748439671147.html,"A video released by the Israeli army in 2023 shows Mohammed Sinwar, brother of Hamas leader Yahya Sinwar, travelling in a car through a tunnel near the Erez crossing.(Reuters)",a man in a car is talking to another man,"{'label': 'NEGATIVE', 'score': 0.9931623935699463}","{'label': 'NEGATIVE', 'score': 0.9817325472831726}",{'person': 2}
246,US judge grants Russian-born Harvard scientist bail in immigration case,https://www.hindustantimes.com/world-news/us-news/us-judge-grants-russian-born-harvard-scientist-bail-in-immigration-case-101748463645716.html,US judge grants Russian-born Harvard scientist bail in immigration case,"times square, new york, ny","{'label': 'POSITIVE', 'score': 0.7093943953514099}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
247,Deadly break in at UN warehouse as aid trickles into Gaza,https://www.hindustantimes.com/world-news/deadly-break-in-at-un-warehouse-as-aid-trickles-into-gaza-101748464195511.html,Deadly break in at UN warehouse as aid trickles into Gaza,travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.9945454597473145}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
248,Judge says deporting Mahmoud Khalil for his beliefs would likely violate constitution,https://www.hindustantimes.com/world-news/judge-says-deporting-mahmoud-khalil-for-his-beliefs-would-likely-violate-constitution-101748468772474.html,Judge says deporting Mahmoud Khalil for his beliefs would likely violate constitution,a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9922617673873901}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}"
249,"Harvard holds commencement amid Trump funding cuts, threats to international students",https://www.hindustantimes.com/world-news/us-news/harvard-holds-commencement-amid-trump-funding-cuts-threats-to-international-students-101748491771431.html,"Harvard holds commencement amid Trump funding cuts, threats to international students",travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.9593377709388733}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
250,Family of an Israeli held hostage in Iraq for 800 days hangs on to hope for her freedom,https://www.hindustantimes.com/world-news/family-of-an-israeli-held-hostage-in-iraq-for-800-days-hangs-on-to-hope-for-her-freedom-101748495170375.html,Family of an Israeli held hostage in Iraq for 800 days hangs on to hope for her freedom,travel concept with famous landmarks and famous monuments of the world,"{'label': 'POSITIVE', 'score': 0.9796242713928223}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
251,Israel authorizes more Jewish settlements in the occupied West Bank,https://www.hindustantimes.com/world-news/israel-authorizes-more-jewish-settlements-in-the-occupied-west-bank-101748500140251.html,Israel authorizes more Jewish settlements in the occupied West Bank,travel concept with famous landmarks and famous monuments of the world,"{'label': 'POSITIVE', 'score': 0.766650378704071}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
252,Trump’s envoy has ‘good feelings’ about Gaza ceasefire talks. Here’s where things stand,https://www.hindustantimes.com/world-news/us-news/trumps-envoy-has-good-feelings-about-gaza-ceasefire-talks-here-s-where-things-stand-101748515393761.html,Trump’s envoy has ‘good feelings’ about Gaza ceasefire talks. Here’s where things stand,travel concept with famous landmarks and famous monuments of the world,"{'label': 'POSITIVE', 'score': 0.9899702668190002}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
253,Israel accepts Trump's Middle East envoy's new Gaza truce proposal: Report,https://www.hindustantimes.com/world-news/israel-accepts-donald-trumps-middle-east-envoys-new-gaza-truce-proposal-benjamin-netanyahu-101748531556207.html,Israeli Prime Minister Benjamin Netanyahu.(Reuters),a man in a suit and tie giving a speech,"{'label': 'POSITIVE', 'score': 0.9366159439086914}","{'label': 'POSITIVE', 'score': 0.9808161854743958}","{'person': 1, 'tie': 1}"
254,White House says Israel backs new Gaza ceasefire proposal sent to Hamas,https://www.hindustantimes.com/world-news/us-news/white-house-says-israel-backs-new-gaza-ceasefire-proposal-sent-to-hamas-101748544865459.html,"Palestinians at a distribution center for humanitarian aid in the Netzarim Corridor, central Gaza Strip, on Thursday, May 29, 2025. (Bloomberg)",a large crowd of people walking through a dirt field,"{'label': 'NEGATIVE', 'score': 0.9418107867240906}","{'label': 'NEGATIVE', 'score': 0.741046130657196}",{'car': 1}
255,US State Department signals foreign student visa suspension will be brief,https://www.hindustantimes.com/world-news/us-news/us-signals-global-suspension-of-foreign-student-visa-processing-will-be-brief-us-state-department-tammy-bruce-101748556219067.html,"U.S. State Department spokesperson Tammy Bruce speaks during her first press briefing at the State Department in Washington, D.C. (REUTERS File)",a woman in a suit and tie is giving a speech,"{'label': 'POSITIVE', 'score': 0.7860924005508423}","{'label': 'POSITIVE', 'score': 0.9603415131568909}",{'person': 1}
256,"Targeting foreign students, Trump hits a US lifeline",https://www.hindustantimes.com/world-news/us-news/targeting-foreign-students-trump-hits-a-us-lifeline-101748575652243.html,"Targeting foreign students, Trump hits a US lifeline",a street scene with a cafe and a bicycle,"{'label': 'POSITIVE', 'score': 0.9675866961479187}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}"
257,UN could cut thousands of jobs under reform plans: internal memo,https://www.hindustantimes.com/world-news/us-news/un-could-cut-thousands-of-jobs-under-reform-plans-internal-memo-101748575664780.html,UN could cut thousands of jobs under reform plans: internal memo,"times square, new york, ny","{'label': 'NEGATIVE', 'score': 0.9957388639450073}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
258,"60-day ceasefire, hostage release: Details of new US-proposed Israel-Hamas truce deal",https://www.hindustantimes.com/world-news/60day-ceasefire-hostage-release-details-of-new-us-proposed-israel-hamas-truce-deal-101748576347116.html,Top Hamas official Bassem Naim said that the new deal “does not respond to any of our people’s demands.(Reuters),a large orange sun,"{'label': 'NEGATIVE', 'score': 0.9989662170410156}","{'label': 'POSITIVE', 'score': 0.9995406866073608}",{'cake': 1}
259,"US proposes 60-day ceasefire for Gaza; hostage-prisoner swap, plan shows",https://www.hindustantimes.com/world-news/us-news/us-proposes-60-day-ceasefire-for-gaza-hostage-prisoner-swap-plan-shows-101748582922052.html,"US proposes 60-day ceasefire for Gaza; hostage-prisoner swap, plan shows",travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.980269730091095}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
260,Saudi warned Iran to reach nuclear deal with Trump or risk Israeli strike,https://www.hindustantimes.com/world-news/us-news/saudi-warned-iran-to-reach-nuclear-deal-with-trump-or-risk-israeli-strike-101748587239578.html,Saudi warned Iran to reach nuclear deal with Trump or risk Israeli strike,a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9873283505439758}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}"
262,Key moments involving Israeli hostages held by Hamas in Gaza,https://www.hindustantimes.com/world-news/us-news/key-moments-involving-israeli-hostages-held-by-hamas-in-gaza-101748594651551.html,Key moments involving Israeli hostages held by Hamas in Gaza,"times square, new york, ny","{'label': 'POSITIVE', 'score': 0.9277383089065552}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
263,Israel Fears Being Boxed In by Trump’s Iran Talks,https://www.hindustantimes.com/world-news/israel-fears-being-boxed-in-by-trump-s-iran-talks-101748595481651.html,Israel Fears Being Boxed In by Trump’s Iran Talks,trump and netanyese in the oval room,"{'label': 'NEGATIVE', 'score': 0.9784740805625916}","{'label': 'POSITIVE', 'score': 0.9953956007957458}","{'person': 2, 'tie': 2}"
264,Israel minister says 'time to go in with full force' in Gaza,https://www.hindustantimes.com/world-news/us-news/israel-minister-says-time-to-go-in-with-full-force-in-gaza-101748597867768.html,Israel minister says 'time to go in with full force' in Gaza,"times square, new york, ny","{'label': 'NEGATIVE', 'score': 0.9760696291923523}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
265,Islamic State group claims first attack on Syrian government forces since Assad's fall,https://www.hindustantimes.com/world-news/islamic-state-group-claims-first-attack-on-syrian-government-forces-since-assads-fall-101748598820654.html,"A file photo of a member loyal to the Islamic State in Iraq and the Levant (ISIL) waves an ISIL flag in Raqqa, Syria June 29, 2014.(Reuters)",a man holding a flag on a street,"{'label': 'NEGATIVE', 'score': 0.9889906644821167}","{'label': 'NEGATIVE', 'score': 0.5437875986099243}","{'person': 4, 'car': 2}"
266,Israel aid block making Gaza ‘hungriest region on earth with almost no read-to-eat food’: UN office,https://www.hindustantimes.com/world-news/israel-aid-block-making-gaza-hungriest-region-on-earth-with-almost-no-read-to-eat-food-un-office-101748600718933.html,"A mourner reacts next to the body of a Palestinian killed in Israeli strikes, at Al Shifa hospital, in Gaza City, May 30.(REUTERS)",a man sitting on a cement floor,"{'label': 'NEGATIVE', 'score': 0.9078152775764465}","{'label': 'NEGATIVE', 'score': 0.9971703886985779}",{'person': 1}
268,"Pakistan railway station bridge collapse kills employee, injures passenger",https://www.hindustantimes.com/world-news/pakistan-railway-station-bridge-collapse-kills-employee-injures-passenger-101748595403437.html,"Railway operations at Khanewal station are continuing as usual, a spokesperson for Pakistan Railways said(AFP)",a train on the tracks,"{'label': 'NEGATIVE', 'score': 0.9062520861625671}","{'label': 'POSITIVE', 'score': 0.9810614585876465}",{'train': 1}
269,Israel minister says 'time to go in with full force' in Gaza,https://www.hindustantimes.com/world-news/israel-minister-says-time-to-go-in-with-full-force-in-gaza-101748625962154.html,"The White House said on Thursday that President Donald Trump and US envoy Steve Witkoff had ""submitted a ceasefire proposal to Hamas that Israel backed"".(AP)",a group of people walking down a street,"{'label': 'NEGATIVE', 'score': 0.9815914630889893}","{'label': 'POSITIVE', 'score': 0.9393766522407532}","{'person': 11, 'chair': 2}"
270,Hamas says it is still reviewing a US proposal for a Gaza ceasefire,https://www.hindustantimes.com/world-news/us-news/hamas-says-it-is-still-reviewing-a-us-proposal-for-a-gaza-ceasefire-101748633137623.html,Hamas says it is still reviewing a US proposal for a Gaza ceasefire,a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9898763298988342}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}"
271,UN seeks 20% cut in staff to help deal with a funding shortfall,https://www.hindustantimes.com/world-news/us-news/un-seeks-20-cut-in-staff-to-help-deal-with-a-funding-shortfall-101748641165385.html,UN seeks 20% cut in staff to help deal with a funding shortfall,"times square, new york, ny","{'label': 'NEGATIVE', 'score': 0.9805183410644531}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
272,Hegseth says US will stand by Indo-Pacific allies against 'imminent' threat of China,https://www.hindustantimes.com/world-news/us-news/hegseth-says-us-will-stand-by-indo-pacific-allies-against-imminent-threat-of-china-101748653522755.html,Hegseth says US will stand by Indo-Pacific allies against 'imminent' threat of China,"times square, new york, ny","{'label': 'POSITIVE', 'score': 0.9804156422615051}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
274,Trump vowed to remake aid. Is Gaza the future?,https://www.hindustantimes.com/world-news/us-news/trump-vowed-to-remake-aid-is-gaza-the-future-101748661274821.html,Trump vowed to remake aid. Is Gaza the future?,a group of people walking around a city,"{'label': 'NEGATIVE', 'score': 0.987318217754364}","{'label': 'POSITIVE', 'score': 0.9978571534156799}","{'person': 12, 'backpack': 1}"
275,Israel won't cooperate with Arab ministers visiting West Bank: official,https://www.hindustantimes.com/world-news/us-news/israel-won-t-cooperate-with-arab-ministers-visiting-west-bank-official-101748680992591.html,Israel won't cooperate with Arab ministers visiting West Bank: official,a group of people walking around a city,"{'label': 'NEGATIVE', 'score': 0.9963615536689758}","{'label': 'POSITIVE', 'score': 0.9978571534156799}","{'person': 12, 'backpack': 1}"
276,"Iran has amassed even more near weapons-grade uranium, UN watchdog says",https://www.hindustantimes.com/world-news/us-news/iran-has-amassed-even-more-near-weapons-grade-uranium-un-watchdog-says-101748688905394.html,"Iran has amassed even more near weapons-grade uranium, UN watchdog says","times square, new york, ny","{'label': 'NEGATIVE', 'score': 0.9812286496162415}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
277,Hungry Palestinians in Gaza block and offload dozens of UN food trucks,https://www.hindustantimes.com/world-news/us-news/hungry-palestinians-in-gaza-block-and-offload-dozens-of-un-food-trucks-101748695344877.html,Hungry Palestinians in Gaza block and offload dozens of UN food trucks,travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.9993869066238403}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
278,"Hamas responds to US-backed Gaza ceasefire plan, calls for an end to war",https://www.hindustantimes.com/world-news/hamas-responds-to-us-backed-gaza-ceasefire-plan-calls-for-an-end-to-war-101748706394027.html,A Palestinian official familiar with the talks told Reuters that Hamas sought some amendments in the deal.(AFP),a man is standing in the rubble of a building,"{'label': 'NEGATIVE', 'score': 0.9543910622596741}","{'label': 'NEGATIVE', 'score': 0.9965498447418213}",{'person': 3}
279,UN watchdog says Iran had secret nuclear activities with undeclared materials; Israel issues warning,https://www.hindustantimes.com/world-news/un-watchdog-says-iran-had-secret-nuclear-activities-with-undeclared-materials-israel-issues-warning-101748691998121.html,Iran has reportedly been stockpiling undeclared nuclear materials to carry out secret activities.(AFP),a man in a suit sitting in a chair,"{'label': 'NEGATIVE', 'score': 0.9921120405197144}","{'label': 'NEGATIVE', 'score': 0.5855075716972351}","{'person': 1, 'clock': 1, 'tie': 1}"
280,"Hamas responds to US ceasefire proposal, to free 10 living hostages from Gaza",https://www.hindustantimes.com/world-news/hamas-responds-to-us-ceasefire-proposal-to-free-10-living-hostages-from-gaza-101748710342534.html,"Palestinians inspect the rubble following Israeli strikes on the al-Qattaa family home in al-Tuffah neighbourhood in Gaza City on May 31, 2025. (AFP)","people walk among the rubble of a building in the town of mogad, syria, on april","{'label': 'NEGATIVE', 'score': 0.9702661633491516}","{'label': 'NEGATIVE', 'score': 0.9766921997070312}","{'person': 3, 'car': 1}"
281,"Elon Musk shares kid with a Japenese pop star, used drugs during Trump stint: Report",https://www.hindustantimes.com/world-news/us-news/elon-musk-shares-kid-with-a-japenese-pop-star-used-drugs-during-donald-trumps-doge-stint-report-101748698229833.html,"Elon Musk has 14 children with several women, including musician Grimes and Shivon Zilis, an executive at his brain-tech startup Neuralink.(AFP)",a man in a black shirt and hat standing in front of a flag,"{'label': 'POSITIVE', 'score': 0.9915468096733093}","{'label': 'NEGATIVE', 'score': 0.8498383164405823}",{'person': 2}
282,Cyprus court frees five Israelis accused of Briton's gang rape,https://www.hindustantimes.com/world-news/us-news/cyprus-court-frees-five-israelis-accused-of-briton-s-gang-rape-101743454163263.html,Cyprus court frees five Israelis accused of Briton's gang rape,travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.5618985295295715}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
283,Hamas issues call to arms against atrocities in Gaza: ‘Let everyone break their silence’,https://www.hindustantimes.com/world-news/hamas-issues-call-to-arms-against-atrocities-in-gaza-let-everyone-break-their-silence-101743452593844.html,Palestinians inspect the site of an Israeli strike on a house in Gaza(REUTERS),a man is digging through a pile of rubble,"{'label': 'NEGATIVE', 'score': 0.9866471290588379}","{'label': 'NEGATIVE', 'score': 0.9990260601043701}",{'person': 4}
284,"Bodies of 15 rescue workers found in Gaza grave, UN blames Israeli forces",https://www.hindustantimes.com/world-news/bodies-of-15-rescue-workers-found-in-gaza-grave-un-blames-israeli-forces-101743458534401.html,"Mourners carry the bodies of 8 Red Crescent emergency responders, recovered in Rafah a week after an Israeli attack.(AP)",a crowd of people,"{'label': 'NEGATIVE', 'score': 0.8870355486869812}","{'label': 'POSITIVE', 'score': 0.9995494484901428}","{'person': 9, 'frisbee': 1}"
285,"Iran complains about Donald Trump's ‘reckless, belligerent’ comments to UN",https://www.hindustantimes.com/world-news/iran-complains-about-donald-trumps-reckless-belligerent-comments-to-un-101743455483505.html,Iran complained about “reckless and belligerent” comments made by Donald Trump regarding their country to the United Nation's Security Council(AP),a man in a suit and tie sitting next to a man in a suit and tie,"{'label': 'NEGATIVE', 'score': 0.9942206144332886}","{'label': 'POSITIVE', 'score': 0.5648370981216431}","{'person': 2, 'tie': 2}"
286,"Donald Trump to visit Qatar, UAE, Saudi Arabia next month in first foreign trip of 2nd term",https://www.hindustantimes.com/world-news/donald-trump-to-visit-qatar-uae-saudi-arabia-next-month-in-first-foreign-trip-of-2nd-term-101743469502027.html,"US President Donald Trump, left, and Karoline Leavitt, White House press secretary, speak during an executive order signing in the Oval Office of the White House in Washington, DC, US, on Monday, March 31, 2025.(Bloomberg)",president trump and secretary of the white house,"{'label': 'POSITIVE', 'score': 0.8797697424888611}","{'label': 'POSITIVE', 'score': 0.9922009110450745}","{'person': 2, 'couch': 1, 'chair': 1, 'tie': 1, 'laptop': 1}"
287,Israel military ‘targeted’ Hezbollah operative linked to Hamas in Beirut strike,https://www.hindustantimes.com/world-news/israel-military-targeted-hezbollah-operative-linked-to-hamas-in-beirut-strike-101743471006217.html,"A man watches at the site of an Israeli strike, in Beirut southern suburbs, Lebanon.(Reuters)",a man standing in front of a pile of garbage,"{'label': 'NEGATIVE', 'score': 0.8252524733543396}","{'label': 'NEGATIVE', 'score': 0.9993307590484619}",{'person': 1}
288,‘No choice' but to acquire nukes: Ayatollah Khamenei's aide over Donald Trump's ‘bombing’ threat to Iran,https://www.hindustantimes.com/world-news/no-choice-but-to-acquire-nukes-ayatollah-khameneis-aide-over-donald-trumps-bombing-threat-to-iran-101743475110464.html,Ayatollah Khamenei had promised to hit back if Trump carried out his threat to bomb the Islamic republic if it did not make a nuclear program deal.(AP),a man with a beard and a black turba,"{'label': 'NEGATIVE', 'score': 0.9883316159248352}","{'label': 'NEGATIVE', 'score': 0.596767246723175}",{'person': 1}
289,Donald Trump targets Harvard's $9 billion in funding amid campus 'anti-Semitism' row,https://www.hindustantimes.com/world-news/us-news/donald-trump-targets-harvards-9-billion-in-funding-amid-campus-anti-semitism-row-101743481878654.html,US President Donald Trump has targeted prestigious universities that saw bitter protests sparked by the Hamas war.(Bloomberg),president trump signs the executive order,"{'label': 'NEGATIVE', 'score': 0.9660984873771667}","{'label': 'POSITIVE', 'score': 0.9712708592414856}","{'person': 1, 'tie': 1, 'chair': 1}"
290,Whiskey-Drinking Rocker to West Africa’s Most Dangerous al Qaeda Leader,https://www.hindustantimes.com/world-news/whiskeydrinking-rocker-to-west-africa-s-most-dangerous-al-qaeda-leader-101743483116808.html,Whiskey-Drinking Rocker Transforms Into West Africa’s Most Dangerous al Qaeda Leader,a group of men sitting in the grass,"{'label': 'POSITIVE', 'score': 0.9776622653007507}","{'label': 'NEGATIVE', 'score': 0.9815991520881653}",{'person': 3}
291,West Bank teen becomes first Palestinian to die Israeli prison,https://www.hindustantimes.com/world-news/west-bank-teen-becomes-first-palestinian-to-die-israeli-prison-101743484194508.html,"A Palestinian man stands near a stall selling toys, as Palestinians prepare for Eid al-Fitr marking the end of the Muslim holy month of Ramadan, in Jenin in the Israeli-occupied West Bank(REUTERS)",a bunch of toys,"{'label': 'NEGATIVE', 'score': 0.9980485439300537}","{'label': 'POSITIVE', 'score': 0.9956415891647339}","{'car': 1, 'umbrella': 2, 'vase': 1, 'person': 5, 'chair': 2}"
292,'Not related to protests': Immigration officials on detained Minnesota university student,https://www.hindustantimes.com/world-news/not-related-to-protests-immigration-officials-on-detained-minnesota-university-student-101743493936404.html,"News of the student's arrest sparked protests, with members of the Graduate Labor Union-United Electrical, Radio and Machine Workers of America marching through downtown Minneapolis.(Reuters)",a group of people walking down a sidewalk,"{'label': 'POSITIVE', 'score': 0.5382473468780518}","{'label': 'POSITIVE', 'score': 0.9133288860321045}","{'person': 15, 'car': 1}"
293,Cyprus court drops all rape charges against 5 Israelis after doubting British woman's credibility,https://www.hindustantimes.com/world-news/us-news/cyprus-court-drops-all-rape-charges-against-5-israelis-after-doubting-british-woman-s-credibility-101743499217156.html,Cyprus court drops all rape charges against 5 Israelis after doubting British woman's credibility,travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.9964523315429688}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
294,Israel's Netanyahu withdraws nomination of candidate for intelligence agency,https://www.hindustantimes.com/world-news/israels-netanyahu-withdraws-nomination-of-candidate-for-intelligence-agency-101743525095161.html,Israel's Netanyahu withdraws nomination of candidate for intelligence agency,"times square, new york, ny","{'label': 'NEGATIVE', 'score': 0.9990345239639282}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
295,US judge blocks Trump administration's firing of intelligence agency employees,https://www.hindustantimes.com/world-news/us-news/us-judge-blocks-trump-administrations-firing-of-intelligence-agency-employees-101743541025108.html,A federal judge in Virginia blocked the Trump administration's move to fire more than a dozen intelligence agency employees(AFP),a large building with a statue on the front,"{'label': 'NEGATIVE', 'score': 0.9853661060333252}","{'label': 'POSITIVE', 'score': 0.9989199638366699}",{'person': 6}
296,Who is Randy Fine? Florida state senator replaces Mike Waltz after GOP concern about his campaign,https://www.hindustantimes.com/world-news/us-news/who-is-randy-fine-florida-state-senator-replaces-mike-waltz-after-gop-concern-about-his-campaign-101743569282659.html,"Randy Fine, Republican nominee for 2025 Florida's 6th congressional district special election, meets his supporter as he celebrates his win, at a watch party, as Florida.(REUTERS)",a man in a suit hugging a woman,"{'label': 'POSITIVE', 'score': 0.9995811581611633}","{'label': 'POSITIVE', 'score': 0.9975481629371643}","{'person': 8, 'cell phone': 2}"
297,Israeli military expanding Gaza operation to capture ‘large areas’: Defence minister,https://www.hindustantimes.com/world-news/israeli-military-expanding-gaza-operation-to-capture-large-areas-defence-minister-101743574025086.html,"Behind a tent camp for displaced Palestinians, smoke rises from a building after it was targeted by an Israeli army strike in Gaza City. (AP file)",a large group of tents,"{'label': 'POSITIVE', 'score': 0.9046178460121155}","{'label': 'NEGATIVE', 'score': 0.9674952030181885}",{'umbrella': 1}
298,"U.S. Sends Warplanes, Ships to the Middle East in Warning to Iran",https://www.hindustantimes.com/world-news/us-sends-warplanes-ships-to-the-middle-east-in-warning-to-iran-101743576485614.html,"The Trump administration launched an air campaign against the Houthis on March 15 and has continued daily strikes around the Yemeni capital of San’a and other locations, targeting the group’s leaders and military assets.(Agency photo)",a fire is seen from the roof of a building in the city of beirut,"{'label': 'NEGATIVE', 'score': 0.9184589385986328}","{'label': 'NEGATIVE', 'score': 0.9695331454277039}",{}
299,Hunger returns to Gaza as Israeli blockade forces bakeries shut: ‘Reliving the famine’,https://www.hindustantimes.com/world-news/hunger-returns-to-gaza-as-israeli-blockade-forces-bakeries-shut-reliving-the-famine-101743584011041.html,"A man stands outside a closed-down bakery that ran out of flour in Gaza City on April 1, 2025.(AFP)",a man standing in front of barbed fence,"{'label': 'NEGATIVE', 'score': 0.9993271827697754}","{'label': 'NEGATIVE', 'score': 0.5071210265159607}","{'person': 7, 'car': 1}"
300,What is 'Qatargate' scandal involving Israeli PM Benjamin Netanyahu's aides?,https://www.hindustantimes.com/world-news/what-is-qatargate-scandal-roiling-israeli-pm-benjamin-netanyahus-aides-101743588012106.html,"Israeli PM Benjamin Netanyahu attends his trial on corruption charges at the district court in Tel Aviv, on April 2, 2025.(AFP)",a man in a suit and tie walking down a hallway,"{'label': 'NEGATIVE', 'score': 0.5657802224159241}","{'label': 'NEGATIVE', 'score': 0.7845388054847717}","{'person': 1, 'tie': 1}"
301,"Israel's Netanyahu heads to Hungary, defying ICC arrest warrant",https://www.hindustantimes.com/world-news/israels-netanyahu-heads-to-hungary-defying-icc-arrest-warrant-101743592483728.html,"Israel's Netanyahu heads to Hungary, defying ICC arrest warrant",travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.5470736622810364}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
303,"Israel expands army ops in Gaza, vows to 'seize large areas'",https://www.hindustantimes.com/world-news/israel-expands-army-ops-in-gaza-vows-to-seize-large-areas-101743606806691.html,Defence Minister Israel Katz said Israel would bolster its military presence in the Palestinian territory.(AFP),a large pile of rubble in the city of aleppo,"{'label': 'POSITIVE', 'score': 0.9781503677368164}","{'label': 'NEGATIVE', 'score': 0.9993402361869812}",{}
304,Netanyahu says Israel will establish a new security corridor across Gaza to pressure Hamas,https://www.hindustantimes.com/world-news/netanyahu-says-israel-will-establish-a-new-security-corridor-across-gaza-to-pressure-hamas-101743611639893.html,Netanyahu says Israel will establish a new security corridor across Gaza to pressure Hamas,"times square, new york, ny","{'label': 'NEGATIVE', 'score': 0.961410641670227}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
305,Hamas warns those who 'spread chaos' after killing of its police officer,https://www.hindustantimes.com/world-news/hamas-warns-those-who-spread-chaos-after-killing-of-its-police-officer-101743612071908.html,Hamas warns those who 'spread chaos' after killing of its police officer,a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9885271787643433}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}"
306,"Military confrontation seems inevitable if no new Iran nuclear deal, France says",https://www.hindustantimes.com/world-news/military-confrontation-seems-inevitable-if-no-new-iran-nuclear-deal-france-says-101743612871171.html,"Military confrontation seems inevitable if no new Iran nuclear deal, France says",travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.9907472133636475}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
307,"UC Berkeley antisemitism lawsuit can proceed, judge rules",https://www.hindustantimes.com/world-news/uc-berkeley-antisemitism-lawsuit-can-proceed-judge-rules-101743613181359.html,"UC Berkeley antisemitism lawsuit can proceed, judge rules",a group of people walking around a city,"{'label': 'NEGATIVE', 'score': 0.9799419641494751}","{'label': 'POSITIVE', 'score': 0.9978571534156799}","{'person': 12, 'backpack': 1}"
